          #r                      g1                      g12
  0.3692640000000000E+00  0.5514195878664090E+00  0.1347179007460770E+00
  0.3732560000000000E+00  0.5394126741699239E+00  0.1336075618243946E+00
  0.3772480000000000E+00  0.5276765080250160E+00  0.1324968109377581E+00
  0.3812400000000000E+00  0.5162047515281275E+00  0.1313859198602169E+00
  0.3852320000000000E+00  0.5049912203487507E+00  0.1302751541775299E+00
  0.3892240000000000E+00  0.4940298797593918E+00  0.1291647732821109E+00
  0.3932160000000000E+00  0.4833148407795396E+00  0.1280550303786659E+00
  0.3972080000000000E+00  0.4728403564555646E+00  0.1269461724933544E+00
  0.4012000000000000E+00  0.4626008182536943E+00  0.1258384404934390E+00
  0.4051920000000000E+00  0.4525907525639627E+00  0.1247320691125662E+00
  0.4091840000000000E+00  0.4428048173180651E+00  0.1236272869832889E+00
  0.4131760000000000E+00  0.4332377987052922E+00  0.1225243166750959E+00
  0.4171680000000000E+00  0.4238846079950314E+00  0.1214233747402679E+00
  0.4211600000000000E+00  0.4147402784415798E+00  0.1203246717630080E+00
  0.4251520000000000E+00  0.4057999622981138E+00  0.1192284124151725E+00
  0.4291440000000000E+00  0.3970589278951048E+00  0.1181347955169828E+00
  0.4331360000000000E+00  0.3885125568228946E+00  0.1170440141001177E+00
  0.4371280000000000E+00  0.3801563411783787E+00  0.1159562554776237E+00
  0.4411200000000000E+00  0.3719858808926801E+00  0.1148717013146374E+00
  0.4451120000000000E+00  0.3639968811336622E+00  0.1137905277036744E+00
  0.4491040000000000E+00  0.3561851497729099E+00  0.1127129052433299E+00
  0.4530960000000000E+00  0.3485465949206083E+00  0.1116389991175364E+00
  0.4570880000000000E+00  0.3410772225277879E+00  0.1105689691784756E+00
  0.4610800000000000E+00  0.3337731340410481E+00  0.1095029700305273E+00
  0.4650720000000000E+00  0.3266305241225116E+00  0.1084411511163127E+00
  0.4690640000000000E+00  0.3196456784255896E+00  0.1073836568032007E+00
  0.4730560000000000E+00  0.3128149714182354E+00  0.1063306264722084E+00
  0.4770480000000000E+00  0.3061348642599870E+00  0.1052821946048853E+00
  0.4810400000000000E+00  0.2996019027386119E+00  0.1042384908738304E+00
  0.4850320000000000E+00  0.2932127152336719E+00  0.1031996402317089E+00
  0.4890240000000000E+00  0.2869640107501823E+00  0.1021657630008133E+00
  0.4930160000000000E+00  0.2808525769766703E+00  0.1011369749620705E+00
  0.4970080000000000E+00  0.2748752783987480E+00  0.1001133874450636E+00
  0.5010000000000000E+00  0.2690290544495433E+00  0.9909510741598500E-01
  0.5049920000000000E+00  0.2633109177003045E+00  0.9808223756699785E-01
  0.5089840000000000E+00  0.2577179520946918E+00  0.9707487640277594E-01
  0.5129760000000000E+00  0.2522473112162527E+00  0.9607311832899246E-01
  0.5169680000000000E+00  0.2468962165980807E+00  0.9507705373711979E-01
  0.5209600000000000E+00  0.2416619560641541E+00  0.9408676909045847E-01
  0.5249520000000000E+00  0.2365418821137902E+00  0.9310234700906446E-01
