         #eta                 varrho1                 varrho2
  0.5788800000000000E-01  0.9159254896173190E-02  0.2584709993619574E+01
  0.6188000000000000E-01  0.9158583551362693E-02  0.2567292663540295E+01
  0.6587200000000000E-01  0.9157867485747364E-02  0.2548854743840631E+01
  0.6986400000000000E-01  0.9157106705621622E-02  0.2529422107269937E+01
  0.7385600000000000E-01  0.9156301217641619E-02  0.2509021846161545E+01
  0.7784800000000000E-01  0.9155451029066295E-02  0.2487682205992257E+01
  0.8184000000000000E-01  0.9154556147166783E-02  0.2465432516665080E+01
  0.8583200000000001E-01  0.9153616580056288E-02  0.2442303121739248E+01
  0.8982400000000000E-01  0.9152632335951011E-02  0.2418325305878663E+01
  0.9381600000000000E-01  0.9151603423368388E-02  0.2393531220742517E+01
  0.9780800000000001E-01  0.9150529851545641E-02  0.2367953809608603E+01
  0.1018000000000000E+00  0.9149411630053946E-02  0.2341626730952849E+01
  0.1057920000000000E+00  0.9148248768598094E-02  0.2314584281266794E+01
  0.1097840000000000E+00  0.9147041277997276E-02  0.2286861317351395E+01
  0.1137760000000000E+00  0.9145789168286593E-02  0.2258493178352135E+01
  0.1177680000000000E+00  0.9144492451008332E-02  0.2229515607787562E+01
  0.1217600000000000E+00  0.9143151137642663E-02  0.2199964675801179E+01
  0.1257520000000000E+00  0.9141765239872413E-02  0.2169876701908208E+01
  0.1297440000000000E+00  0.9140334770486560E-02  0.2139288178435720E+01
  0.1337360000000000E+00  0.9138859741744481E-02  0.2108235694920476E+01
  0.1377280000000000E+00  0.9137340167033173E-02  0.2076755863656094E+01
  0.1417200000000000E+00  0.9135776060218329E-02  0.2044885246619373E+01
  0.1457120000000000E+00  0.9134167434820026E-02  0.2012660283973029E+01
  0.1497040000000000E+00  0.9132514305673026E-02  0.1980117224330807E+01
  0.1536960000000000E+00  0.9130816687065875E-02  0.1947292056973585E+01
  0.1576880000000000E+00  0.9129074594839439E-02  0.1914220446187396E+01
  0.1616800000000000E+00  0.9127288044207090E-02  0.1880937667868684E+01
  0.1656720000000000E+00  0.9125457051530426E-02  0.1847478548562416E+01
  0.1696640000000000E+00  0.9123581633278841E-02  0.1813877407050133E+01
  0.1736560000000000E+00  0.9121661806120470E-02  0.1780167998610598E+01
  0.1776480000000000E+00  0.9119697587728234E-02  0.1746383462070620E+01
  0.1816400000000000E+00  0.9117688995924713E-02  0.1712556269730840E+01
  0.1856320000000000E+00  0.9115636048471615E-02  0.1678718180246354E+01
  0.1896240000000000E+00  0.9113538764282857E-02  0.1644900194536528E+01
  0.1936160000000000E+00  0.9111397162496340E-02  0.1611132514777135E+01
  0.1976080000000000E+00  0.9109211262568960E-02  0.1577444506509693E+01
  0.2016000000000000E+00  0.9106981084594595E-02  0.1543864663910104E+01
  0.2055920000000000E+00  0.9104706648397319E-02  0.1510420578212395E+01
  0.2095840000000000E+00  0.9102387975233356E-02  0.1477138909320672E+01
  0.2135760000000000E+00  0.9100025086456964E-02  0.1444045360569760E+01
  0.2175680000000000E+00  0.9097618003398479E-02  0.1411164656637008E+01
  0.2215600000000000E+00  0.9095166748348617E-02  0.1378520524574365E+01
  0.2255520000000000E+00  0.9092671343846143E-02  0.1346135677906555E+01
  0.2295440000000000E+00  0.9090131812942520E-02  0.1314031803752139E+01
  0.2335360000000000E+00  0.9087548179122894E-02  0.1282229552916145E+01
  0.2375280000000000E+00  0.9084920466325941E-02  0.1250748532867902E+01
  0.2415200000000000E+00  0.9082248698810320E-02  0.1219607303544658E+01
  0.2455120000000000E+00  0.9079532901541398E-02  0.1188823375883786E+01
  0.2495040000000000E+00  0.9076773099629253E-02  0.1158413212994754E+01
  0.2534960000000000E+00  0.9073969318769403E-02  0.1128392233878510E+01
  0.2574880000000000E+00  0.9071121585337183E-02  0.1098774819584293E+01
  0.2614800000000000E+00  0.9068229925997120E-02  0.1069574321701604E+01
  0.2654720000000000E+00  0.9065294367881331E-02  0.1040803073061037E+01
  0.2694640000000000E+00  0.9062314938293884E-02  0.1012472400552445E+01
  0.2734560000000000E+00  0.9059291665453779E-02  0.9845926399088588E+00
  0.2774480000000000E+00  0.9056224578175474E-02  0.9571731523658874E+00
  0.2814400000000000E+00  0.9053113704756043E-02  0.9302223430452017E+00
  0.2854320000000000E+00  0.9049959075404741E-02  0.9037476809611178E+00
  0.2894240000000000E+00  0.9046760719552127E-02  0.8777557205012604E+00
  0.2934160000000000E+00  0.9043518667909430E-02  0.8522521242840592E+00
  0.2974080000000000E+00  0.9040232951256714E-02  0.8272416872313025E+00
  0.3014000000000000E+00  0.9036903600690468E-02  0.8027283617714763E+00
  0.3053920000000000E+00  0.9033530648428059E-02  0.7787152840180672E+00
  0.3093840000000000E+00  0.9030114126768667E-02  0.7552048008234967E+00
  0.3133760000000000E+00  0.9026654068728674E-02  0.7321984975765284E+00
  0.3173680000000000E+00  0.9023150507205971E-02  0.7096972266389562E+00
  0.3213600000000000E+00  0.9019603476291500E-02  0.6877011363001296E+00
  0.3253520000000000E+00  0.9016013010127829E-02  0.6662097001410672E+00
  0.3293440000000000E+00  0.9012379143537282E-02  0.6452217467090312E+00
  0.3333360000000000E+00  0.9008701912133727E-02  0.6247354893924447E+00
  0.3373280000000000E+00  0.9004981351247996E-02  0.6047485564034929E+00
  0.3413200000000000E+00  0.9001217497579032E-02  0.5852580207768957E+00
  0.3453120000000000E+00  0.8997410387807643E-02  0.5662604302882528E+00
  0.3493040000000000E+00  0.8993560059211834E-02  0.5477518372201189E+00
  0.3532960000000000E+00  0.8989666549703127E-02  0.5297278278826761E+00
  0.3572880000000000E+00  0.8985729897389471E-02  0.5121835518274290E+00
  0.3612800000000000E+00  0.8981750141570245E-02  0.4951137506778072E+00
  0.3652720000000000E+00  0.8977727321482292E-02  0.4785127865093083E+00
  0.3692640000000000E+00  0.8973661476588315E-02  0.4623746697311901E+00
  0.3732560000000000E+00  0.8969552647766086E-02  0.4466930863989423E+00
  0.3772480000000000E+00  0.8965400876040766E-02  0.4314614249245968E+00
  0.3812400000000000E+00  0.8961206202486145E-02  0.4166728021233534E+00
  0.3852320000000000E+00  0.8956968669288169E-02  0.4023200885726273E+00
  0.3892240000000000E+00  0.8952688319067143E-02  0.3883959332329472E+00
  0.3932160000000000E+00  0.8948365194652655E-02  0.3748927873091835E+00
  0.3972080000000000E+00  0.8943999339937695E-02  0.3618029273250253E+00
  0.4012000000000000E+00  0.8939590798750490E-02  0.3491184773787239E+00
  0.4051920000000000E+00  0.8935139616017367E-02  0.3368314305743070E+00
  0.4091840000000000E+00  0.8930645836873512E-02  0.3249336696037280E+00
  0.4131760000000000E+00  0.8926109507002622E-02  0.3134169864778424E+00
  0.4171680000000000E+00  0.8921530672741840E-02  0.3022731013851991E+00
  0.4211600000000000E+00  0.8916909380916917E-02  0.2914936806943326E+00
  0.4251520000000000E+00  0.8912245679024329E-02  0.2810703540769737E+00
  0.4291440000000000E+00  0.8907539614985242E-02  0.2709947307729881E+00
  0.4331360000000000E+00  0.8902791237259258E-02  0.2612584149900622E+00
  0.4371280000000000E+00  0.8898000595074229E-02  0.2518530204509091E+00
  0.4411200000000000E+00  0.8893167737812700E-02  0.2427701840973195E+00
  0.4451120000000000E+00  0.8888292715680313E-02  0.2340015789585408E+00
  0.4491040000000000E+00  0.8883375579800934E-02  0.2255389262089788E+00
  0.4530960000000000E+00  0.8878416380989919E-02  0.2173740064212761E+00
  0.4570880000000000E+00  0.8873415171480589E-02  0.2094986700320144E+00
  0.4610800000000000E+00  0.8868372003623523E-02  0.2019048470485624E+00
  0.4650720000000000E+00  0.8863286930602253E-02  0.1945845560079368E+00
  0.4690640000000000E+00  0.8858160005607813E-02  0.1875299122171867E+00
  0.4730560000000000E+00  0.8852991283547343E-02  0.1807331352896829E+00
  0.4770480000000000E+00  0.8847780818432438E-02  0.1741865560064137E+00
  0.4810400000000000E+00  0.8842528665857823E-02  0.1678826225247434E+00
  0.4850320000000000E+00  0.8837234881959130E-02  0.1618139059631668E+00
  0.4890240000000000E+00  0.8831899523043300E-02  0.1559731053759326E+00
  0.4930160000000000E+00  0.8826522646377871E-02  0.1503530521572785E+00
  0.4970080000000000E+00  0.8821104309388093E-02  0.1449467138898110E+00
  0.5010000000000000E+00  0.8815644570667414E-02  0.1397471976696825E+00
  0.5049920000000000E+00  0.8810143488942320E-02  0.1347477529276091E+00
  0.5089840000000000E+00  0.8804601123678722E-02  0.1299417737762371E+00
  0.5129760000000000E+00  0.8799017534882755E-02  0.1253228009103798E+00
  0.5169680000000000E+00  0.8793392783359916E-02  0.1208845230768058E+00
  0.5209600000000000E+00  0.8787726930256933E-02  0.1166207781456959E+00
  0.5249520000000000E+00  0.8782020037803859E-02  0.1125255538062540E+00
  0.5289440000000000E+00  0.8776272167806676E-02  0.1085929879093849E+00
  0.5329360000000000E+00  0.8770483384008024E-02  0.1048173684769355E+00
  0.5369280000000000E+00  0.8764653749715162E-02  0.1011931334079890E+00
  0.5409200000000000E+00  0.8758783329258262E-02  0.9771486989533547E-01
  0.5449120000000000E+00  0.8752872187785483E-02  0.9437731358129753E-01
  0.5489039999999999E+00  0.8746920390581371E-02  0.9117534746359368E-01
  0.5528960000000001E+00  0.8740928003911163E-02  0.8810400058195118E-01
  0.5568880000000000E+00  0.8734895094542091E-02  0.8515844649640532E-01
  0.5608800000000000E+00  0.8728821729918391E-02  0.8233400157839910E-01
  0.5648720000000000E+00  0.8722707977715290E-02  0.7962612313331500E-01
  0.5688640000000000E+00  0.8716553907071337E-02  0.7703040736848028E-01
  0.5728560000000000E+00  0.8710359586958479E-02  0.7454258722203615E-01
  0.5768480000000000E+00  0.8704125087140276E-02  0.7215853007470822E-01
  0.5808400000000000E+00  0.8697850478240874E-02  0.6987423534806798E-01
  0.5848320000000000E+00  0.8691535831481217E-02  0.6768583201323371E-01
  0.5888240000000000E+00  0.8685181218316813E-02  0.6558957601611877E-01
  0.5928160000000000E+00  0.8678786711639252E-02  0.6358184763340329E-01
  0.5968080000000000E+00  0.8672352384076903E-02  0.6165914877088122E-01
  0.6008000000000000E+00  0.8665878309388121E-02  0.5981810021785883E-01
  0.6047920000000000E+00  0.8659364562014943E-02  0.5805543886037157E-01
  0.6087840000000000E+00  0.8652811216624822E-02  0.5636801486894841E-01
  0.6127760000000000E+00  0.8646218348932245E-02  0.5475278887029885E-01
  0.6167680000000000E+00  0.8639586035402136E-02  0.5320682910362725E-01
  0.6207600000000000E+00  0.8632914352141911E-02  0.5172730857725938E-01
  0.6247520000000000E+00  0.8626203377512137E-02  0.5031150223216289E-01
  0.6287440000000000E+00  0.8619453189148342E-02  0.4895678410496570E-01
  0.6327360000000000E+00  0.8612663866060667E-02  0.4766062452132699E-01
  0.6367280000000000E+00  0.8605835487353698E-02  0.4642058730296009E-01
  0.6407200000000000E+00  0.8598968133476242E-02  0.4523432699898441E-01
  0.6447120000000000E+00  0.8592061884918076E-02  0.4409958615679285E-01
  0.6487039999999999E+00  0.8585116823017814E-02  0.4301419261920062E-01
  0.6526960000000001E+00  0.8578133029940663E-02  0.4197605686663467E-01
  0.6566880000000000E+00  0.8571110588331193E-02  0.4098316939681960E-01
  0.6606800000000000E+00  0.8564049581339345E-02  0.4003359814860256E-01
  0.6646720000000000E+00  0.8556950093065691E-02  0.3912548597713291E-01
  0.6686640000000000E+00  0.8549812208172303E-02  0.3825704817549950E-01
  0.6726560000000000E+00  0.8542636011812207E-02  0.3742657004381122E-01
  0.6766480000000000E+00  0.8535421589908216E-02  0.3663240451788852E-01
  0.6806400000000000E+00  0.8528169029104755E-02  0.3587296984502538E-01
  0.6846320000000000E+00  0.8520878416633151E-02  0.3514674731689441E-01
  0.6886240000000000E+00  0.8513549840595368E-02  0.3445227905967071E-01
  0.6926160000000000E+00  0.8506183389040666E-02  0.3378816587741647E-01
  0.6966080000000000E+00  0.8498779151453164E-02  0.3315306515145622E-01
  0.7006000000000000E+00  0.8491337217783671E-02  0.3254568879994994E-01
